Signal_A,Hold,Analysis,Partner,A_type,A_resolved,B_type,B_resolved,L2 Type,N,A_alone_AR,Group_AR,Hit_alone,Hit_group,IE,p_value,sig
FS-01,1,Co-occ ST-09,ST-09,opportunity,opportunity,risk,risk,Strong Positive,9,0.0012710160020202926,0.014277315577406932,46.55172413793103,66.66666666666666,0.01300629957538664,0.28611680274821216,
FS-01,1,Co-occ ST-13,ST-13,opportunity,opportunity,opportunity,opportunity,Strong Positive,20,0.0010788982315367952,0.010361035243591216,46.29080118694362,60.0,0.009282137012054421,0.5184866615671113,
FS-01,1,Co-occ FS-03,FS-03,opportunity,opportunity,opportunity,opportunity,Strong Positive,11,0.002132555392453434,-0.015186796080833087,47.687861271676304,27.27272727272727,-0.01731935147328652,0.0013255964990119828,***
FS-01,1,Co-occ ST-07,ST-07,opportunity,opportunity,opportunity,opportunity,Strong Positive,6,0.0010968505962929774,0.030969141600148187,46.72364672364672,66.66666666666666,0.02987229100385521,0.31964943653406697,
FS-01,1,Co-occ ST-01B,ST-01B,opportunity,opportunity,opportunity,opportunity,Moderate Positive,17,0.0011761905514167748,0.010053213024589454,47.35294117647059,41.17647058823529,0.00887702247317268,0.49475976202536476,
FS-01,1,Co-occ ST-12,ST-12,opportunity,opportunity,adaptive,opportunity,Moderate Positive,8,0.0016178600869406732,0.0007720298196786546,46.99140401146132,50.0,-0.0008458302672620186,0.8908275285210869,
FS-01,1,Co-occ ST-02A,ST-02A,opportunity,opportunity,risk,risk,Moderate Positive,11,0.00076049098389497,0.027970866224733146,46.53179190751445,63.63636363636363,0.027210375240838174,0.3324037356279481,
FS-01,1,Co-occ ST-02B,ST-02B,opportunity,opportunity,risk,risk,Moderate Positive,12,0.0009552124788198314,0.02010509197557353,46.3768115942029,66.66666666666666,0.0191498794967537,0.12064972698527732,
FS-01,1,Co-occ FS-04,FS-04,opportunity,opportunity,opportunity,opportunity,Weak Positive,5,0.000731774214639038,0.06264497706935657,46.590909090909086,80.0,0.061913202854717526,0.15994518053990436,
FS-01,1,LL FS-03->FS-01,FS-03,opportunity,opportunity,opportunity,opportunity,Strong Leader,2,0.0030755813255125245,-0.014583399329951126,48.64864864864865,50.0,-0.017658980655463685,0.12235645656297622,
FS-01,1,LL FS-01->FS-03,FS-03,opportunity,opportunity,opportunity,opportunity,Strong Leader,11,0.0030755813255125245,-0.023376146995170943,48.64864864864865,18.181818181818183,-0.026451728320683467,0.00017678224289152666,***
FS-01,1,LL ST-12->FS-01,ST-12,opportunity,opportunity,adaptive,opportunity,Strong Leader,12,0.001659297121335133,-0.0019968923794793088,47.987616099071204,50.0,-0.003882055690967961,0.5927490514248279,
FS-01,1,LL FS-01->ST-12,ST-12,opportunity,opportunity,adaptive,opportunity,Strong Leader,15,0.001659297121335133,0.004666275148058859,47.987616099071204,26.666666666666668,0.003316271508328825,0.8524856263782026,
FS-01,1,LL ST-11->FS-01,ST-11,opportunity,opportunity,opportunity,opportunity,Strong Leader,2,0.0016929100851477837,0.009179987210688016,47.277936962750715,100.0,0.007487077125540233,0.018724806409615935,**
FS-01,1,LL FS-01->ST-11,ST-11,opportunity,opportunity,opportunity,opportunity,Strong Leader,5,0.0016929100851477837,-0.005651374856715775,47.277936962750715,20.0,-0.00734428494186356,0.002135567973655439,***
FS-01,1,LL ST-09->FS-01,ST-09,opportunity,opportunity,risk,risk,Strong Leader,4,0.0012400118279072621,-0.01658458559302389,45.67164179104478,75.0,-0.01782459742093119,0.4774466125556467,
FS-01,1,LL FS-01->ST-09,ST-09,opportunity,opportunity,risk,risk,Strong Leader,9,0.0012400118279072621,0.010360883191802733,45.67164179104478,66.66666666666666,0.009120871363895468,0.6954093328474049,
FS-01,1,LL ST-07->FS-01,ST-07,opportunity,opportunity,opportunity,opportunity,Strong Leader,4,0.0009264380485374612,0.010957244186111166,46.22093023255814,75.0,0.010030806137573707,0.05899645278244381,*
FS-01,1,LL FS-01->ST-07,ST-07,opportunity,opportunity,opportunity,opportunity,Strong Leader,3,0.0009264380485374612,0.007490297952501211,46.22093023255814,66.66666666666666,0.006563859903963756,0.20999011552090607,
FS-01,1,LL ST-08->FS-01,ST-08,opportunity,opportunity,risk,risk,Moderate Leader,6,0.0013499197942380534,0.006487356405613392,46.76470588235294,33.33333333333333,0.005137436611375342,0.628125992454267,
FS-01,1,LL FS-01->ST-08,ST-08,opportunity,opportunity,risk,risk,Moderate Leader,7,0.0013499197942380534,0.004471568985887605,46.76470588235294,57.14285714285714,0.0031216491916495536,0.7746720988813585,
FS-01,3,Co-occ ST-09,ST-09,opportunity,opportunity,risk,risk,Strong Positive,9,-0.00024871037134389755,-0.037495470074519324,47.12643678160919,22.22222222222222,-0.037246759703175425,0.20034308608399365,
