Signal_A,Hold,Analysis,Partner,A_type,A_resolved,B_type,B_resolved,L2 Type,N,A_alone_AR,Group_AR,Hit_alone,Hit_group,IE,p_value,sig
FS-01,1,Co-occ FS-03,FS-03,opportunity,opportunity,opportunity,opportunity,Strong Positive,33,-1.3028899957134854e-05,-0.0037123747169971466,49.30784442979565,51.515151515151516,-0.0036993457470089197,0.44137922445359035,
FS-01,1,Co-occ ST-07,ST-07,opportunity,opportunity,opportunity,opportunity,Strong Positive,18,-0.00016399865853600204,0.006054048426449299,49.281984334203656,55.55555555555556,0.006218046881258488,0.47427656667108353,
FS-01,1,Co-occ ST-12,ST-12,opportunity,opportunity,adaptive,opportunity,Moderate Positive,18,-0.00015758433437440544,0.0055081285536289215,49.281984334203656,55.55555555555556,0.0056657129898667336,0.4706079664305345,
FS-01,1,Co-occ ST-14,ST-14,opportunity,opportunity,opportunity,opportunity,Moderate Positive,12,-0.0001837110030464828,0.011689512990415096,49.28478543563069,58.333333333333336,0.011873223818838596,0.08975463848456888,*
FS-01,1,Co-occ ST-08,ST-08,opportunity,opportunity,risk,risk,Moderate Positive,15,9.530475654173642e-05,-0.01923772133886814,49.576547231270354,26.666666666666668,-0.019333025440573692,0.02092312199545776,**
FS-01,1,Co-occ ST-13,ST-13,opportunity,opportunity,opportunity,opportunity,Moderate Positive,22,-0.00014192353410180658,0.00339026958681643,49.28010471204188,54.54545454545454,0.003532193135470152,0.5382795847240205,
FS-01,1,Co-occ ST-10,ST-10,opportunity,opportunity,opportunity,opportunity,Moderate Positive,25,0.00013227119052316993,-0.013759458437561989,49.57377049180327,36.0,-0.013891729526221752,0.22984076911682605,
FS-01,1,Co-occ ST-11,ST-11,opportunity,opportunity,opportunity,opportunity,Moderate Positive,20,-6.377942190738395e-05,-0.002234527375549078,49.2156862745098,60.0,-0.00217074784450233,0.6566294344170247,
FS-01,1,Co-occ ST-09,ST-09,opportunity,opportunity,risk,risk,Moderate Positive,11,-8.768978295847774e-05,-0.0006653361488133669,49.122807017543856,81.81818181818183,-0.0005776463658548892,0.9521978842817216,
FS-01,1,Co-occ ST-15,ST-15,opportunity,opportunity,risk,risk,Weak Positive,9,-0.00010491017019376159,0.0021548361983150244,49.38351719662557,44.44444444444444,0.002259746426716447,0.7983615986518191,
FS-01,1,LL FS-03->FS-01,FS-03,opportunity,opportunity,opportunity,opportunity,Strong Leader,16,0.0002786504046525806,0.0013826065696775913,49.52445652173913,56.25,0.0011039555389169998,0.8825097379319107,
FS-01,1,LL FS-01->FS-03,FS-03,opportunity,opportunity,opportunity,opportunity,Strong Leader,29,0.0002786504046525806,-0.01558828167617321,49.52445652173913,34.48275862068966,-0.015866931699339126,0.01606877809191576,**
FS-01,1,LL ST-12->FS-01,ST-12,opportunity,opportunity,adaptive,opportunity,Strong Leader,22,-0.00020796339958906174,-0.0007061727810651064,49.15139171758317,50.0,-0.0005987671392556149,0.8958697139108258,
FS-01,1,LL FS-01->ST-12,ST-12,opportunity,opportunity,adaptive,opportunity,Strong Leader,38,-0.00020796339958906174,0.0017988515319302678,49.15139171758317,52.63157894736842,0.0020135388247000587,0.6811028370159815,
FS-01,1,LL ST-14->FS-01,ST-14,opportunity,opportunity,opportunity,opportunity,Strong Leader,69,-2.3970862457645126e-05,-0.0037871776148676872,48.983882270497546,50.72463768115942,-0.003798936566716298,0.44192636883976677,
FS-01,1,LL FS-01->ST-14,ST-14,opportunity,opportunity,opportunity,opportunity,Strong Leader,46,-2.3970862457645126e-05,0.0005218686419539154,48.983882270497546,56.52173913043478,0.0008921728710917077,0.8792359686370175,
FS-01,1,LL ST-13->FS-01,ST-13,opportunity,opportunity,opportunity,opportunity,Strong Leader,26,0.00027151653193868697,-0.01287602074444294,49.38608458390178,50.0,-0.012843523123092563,0.255814801827976,
FS-01,1,LL FS-01->ST-13,ST-13,opportunity,opportunity,opportunity,opportunity,Strong Leader,37,0.00027151653193868697,-0.007743906229734421,49.38608458390178,43.24324324324324,-0.007658859441822003,0.08900199713439583,*
FS-01,1,LL ST-15->FS-01,ST-15,opportunity,opportunity,risk,risk,Strong Leader,16,-0.00018170512339565903,0.007512515410780907,49.6,62.5,0.0077141908689879815,0.053352389175409964,*
FS-01,1,LL FS-01->ST-15,ST-15,opportunity,opportunity,risk,risk,Strong Leader,26,-0.00018170512339565903,-0.0002474863431416452,49.6,30.76923076923077,-0.00036534454066852225,0.9266337756749361,
FS-01,1,LL ST-11->FS-01,ST-11,opportunity,opportunity,opportunity,opportunity,Strong Leader,33,-4.07587576773949e-05,0.004720389377325773,48.76712328767123,57.57575757575758,0.004761147843625986,0.18567491283307236,
